segment,n,metric,metric_value,overall_metric,gap,is_significant,low_n,p_value,test_used
HouseAge=Q4(37–52) & ocean_proximity=NEAR OCEAN,230,mae,0.39206146652173957,0.32754256845930246,0.0645188980624371,True,False,0.038,bootstrap_ci
HouseAge=Q3(29–37) & ocean_proximity=NEAR BAY,262,mae,0.2779105656488553,0.32754256845930246,-0.04963200281044716,True,False,0.04,bootstrap_ci
HouseAge=Q3(29–37) & ocean_proximity=<1H OCEAN,249,mae,0.2799530108433737,0.32754256845930246,-0.04758955761592876,True,False,0.028,bootstrap_ci
HouseAge=Q3(29–37) & ocean_proximity=INLAND,266,mae,0.2830074263157897,0.32754256845930246,-0.044535142143512785,False,False,0.056,bootstrap_ci
HouseAge=Q3(29–37),1025,mae,0.28789504126829285,0.32754256845930246,-0.03964752719100961,True,False,0.002,bootstrap_ci
HouseAge=Q1(0.999–18) & ocean_proximity=INLAND,258,mae,0.3643068670542637,0.32754256845930246,0.03676429859496122,False,False,0.142,bootstrap_ci
HouseAge=Q4(37–52),1005,mae,0.34622519054726386,0.32754256845930246,0.018682622087961398,False,False,0.146,bootstrap_ci
ocean_proximity=NEAR OCEAN,1005,mae,0.345269524676617,0.32754256845930246,0.017726956217314516,False,False,0.174,bootstrap_ci
HouseAge=Q1(0.999–18) & ocean_proximity=NEAR OCEAN,263,mae,0.34377736996197705,0.32754256845930246,0.01623480150267459,False,False,0.46,bootstrap_ci
HouseAge=Q3(29–37) & ocean_proximity=NEAR OCEAN,248,mae,0.31165957258064514,0.32754256845930246,-0.015882995878657324,False,False,0.524,bootstrap_ci
ocean_proximity=<1H OCEAN,1044,mae,0.31274471781609214,0.32754256845930246,-0.01479785064321032,False,False,0.166,bootstrap_ci
HouseAge=Q2(18–29) & ocean_proximity=INLAND,257,mae,0.34213052996108967,0.32754256845930246,0.014587961501787206,False,False,0.552,bootstrap_ci
HouseAge=Q1(0.999–18),1049,mae,0.34058761649189706,0.32754256845930246,0.013045048032594597,False,False,0.27,bootstrap_ci
HouseAge=Q2(18–29) & ocean_proximity=NEAR BAY,273,mae,0.3400624706959709,0.32754256845930246,0.012519902236668434,False,False,0.634,bootstrap_ci
HouseAge=Q4(37–52) & ocean_proximity=NEAR BAY,236,mae,0.33769659449152556,0.32754256845930246,0.010154026032223096,False,False,0.718,bootstrap_ci
HouseAge=Q2(18–29) & ocean_proximity=NEAR OCEAN,264,mae,0.3375633056818182,0.32754256845930246,0.01002073722251573,False,False,0.68,bootstrap_ci
HouseAge=Q4(37–52) & ocean_proximity=INLAND,271,mae,0.33713749114391145,0.32754256845930246,0.009594922684608986,False,False,0.75,bootstrap_ci
HouseAge=Q2(18–29),1049,mae,0.33533896959008597,0.32754256845930246,0.0077964011307835035,False,False,0.508,bootstrap_ci
HouseAge=Q2(18–29) & ocean_proximity=<1H OCEAN,255,mae,0.321134375294118,0.32754256845930246,-0.006408193165184484,False,False,0.814,bootstrap_ci
ocean_proximity=NEAR BAY,1027,mae,0.3213548310613439,0.32754256845930246,-0.0061877373979585815,False,False,0.588,bootstrap_ci
HouseAge=Q4(37–52) & ocean_proximity=<1H OCEAN,268,mae,0.32358777164179126,0.32754256845930246,-0.003954796817511208,False,False,0.842,bootstrap_ci
ocean_proximity=INLAND,1052,mae,0.3313336058935363,0.32754256845930246,0.0037910374342338127,False,False,0.674,bootstrap_ci
HouseAge=Q1(0.999–18) & ocean_proximity=<1H OCEAN,272,mae,0.32421469558823524,0.32754256845930246,-0.003327872871067228,False,False,0.914,bootstrap_ci
HouseAge=Q1(0.999–18) & ocean_proximity=NEAR BAY,256,mae,0.330802314453125,0.32754256845930246,0.0032597459938225604,False,False,0.94,bootstrap_ci
