segment,n,metric,metric_value,overall_metric,gap,is_significant,low_n,p_value,test_used
sex=Female & race=Other,26,accuracy,0.9615384615384616,0.8032061912658928,0.1583322702725688,False,True,,skipped_low_n
race=Other,80,accuracy,0.925,0.8032061912658928,0.12179380873410728,True,False,0.006143870869231849,proportion_z
sex=Male & race=Other,54,accuracy,0.9074074074074074,0.8032061912658928,0.10420121614151467,False,False,0.054107615786316066,proportion_z
sex=Female & race=Black,405,accuracy,0.8814814814814815,0.8032061912658928,0.07827529021558877,True,False,7.427204047694147e-05,proportion_z
sex=Female & race=Amer-Indian-Eskimo,41,accuracy,0.8780487804878049,0.8032061912658928,0.07484258922191211,False,False,0.22805930377897976,proportion_z
race=Black,833,accuracy,0.865546218487395,0.8032061912658928,0.062340027221502226,True,False,6.024195699616541e-06,proportion_z
sex=Male & race=Asian-Pac-Islander,159,accuracy,0.7484276729559748,0.8032061912658928,-0.05477851830991798,False,False,0.08232379838049919,proportion_z
sex=Female,2923,accuracy,0.854259322613753,0.8032061912658928,0.05105313134786027,True,False,3.851585717029593e-12,proportion_z
race=Amer-Indian-Eskimo,95,accuracy,0.8526315789473684,0.8032061912658928,0.04942538768147564,False,False,0.22562986740127222,proportion_z
sex=Male & race=Black,428,accuracy,0.8504672897196262,0.8032061912658928,0.047261098453733386,True,False,0.013921933401587205,proportion_z
sex=Female & race=White,2372,accuracy,0.8494940978077572,0.8032061912658928,0.04628790654186443,True,False,1.4255197244850137e-08,proportion_z
race=Asian-Pac-Islander,238,accuracy,0.7689075630252101,0.8032061912658928,-0.03429862824068264,False,False,0.18322134730662598,proportion_z
sex=Male & race=White,5427,accuracy,0.7722498618021006,0.8032061912658928,-0.03095632946379212,True,False,9.693118974141157e-09,proportion_z
sex=Male & race=Amer-Indian-Eskimo,54,accuracy,0.8333333333333334,0.8032061912658928,0.030127142067440604,False,False,0.5776322386739703,proportion_z
sex=Male,6122,accuracy,0.7788304475661548,0.8032061912658928,-0.02437574369973794,True,False,1.6092134267342573e-06,proportion_z
race=White,7799,accuracy,0.7957430439799974,0.8032061912658928,-0.007463147285895366,False,False,0.09736547313838906,proportion_z
sex=Female & race=Asian-Pac-Islander,79,accuracy,0.810126582278481,0.8032061912658928,0.006920391012588234,False,False,0.8770481054336721,proportion_z
