segment,n,metric,metric_value,overall_metric,gap,is_significant,low_n,p_value,test_used
mean radius=Q4(15.9–25.2),36,f1,nan,0.9720670391061452,nan,False,False,,
mean texture=Q3(19.3–22.4),35,f1,0.88,0.9720670391061452,-0.09206703910614522,True,False,0.0380322415997385,proportion_z
mean radius=Q2(11.6–13.5) & mean texture=Q3(19.3–22.4),5,f1,0.8888888888888888,0.9720670391061452,-0.08317815021725639,False,True,,skipped_low_n
mean radius=Q3(13.5–15.9),35,f1,0.8947368421052632,0.9720670391061452,-0.07733019700088206,True,False,0.0019332520773698292,proportion_z
mean texture=Q2(16.2–19.3),36,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,0.3091081171471304,proportion_z
mean radius=Q4(15.9–25.2) & mean texture=Q2(16.2–19.3),1,f1,nan,0.9720670391061452,nan,False,True,,
mean radius=Q4(15.9–25.2) & mean texture=Q3(19.3–22.4),17,f1,nan,0.9720670391061452,nan,False,False,,
mean radius=Q4(15.9–25.2) & mean texture=Q1(10.4–16.2),3,f1,nan,0.9720670391061452,nan,False,True,,
mean radius=Q4(15.9–25.2) & mean texture=Q4(22.4–31.1),15,f1,nan,0.9720670391061452,nan,False,False,,
mean radius=Q3(13.5–15.9) & mean texture=Q3(19.3–22.4),8,f1,0.6666666666666666,0.9720670391061452,-0.3054003724394786,False,True,,skipped_low_n
mean radius=Q3(13.5–15.9) & mean texture=Q4(22.4–31.1),8,f1,0.8,0.9720670391061452,-0.17206703910614518,False,True,,skipped_low_n
mean radius=Q3(13.5–15.9) & mean texture=Q1(10.4–16.2),8,f1,0.9230769230769231,0.9720670391061452,-0.0489901160292221,False,True,,skipped_low_n
mean radius=Q1(6.98–11.6),36,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,0.3091081171471304,proportion_z
mean radius=Q2(11.6–13.5) & mean texture=Q2(16.2–19.3),15,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,1.0,fisher_exact
mean radius=Q2(11.6–13.5) & mean texture=Q1(10.4–16.2),11,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,1.0,fisher_exact
mean radius=Q2(11.6–13.5) & mean texture=Q4(22.4–31.1),5,f1,1.0,0.9720670391061452,0.027932960893854775,False,True,,skipped_low_n
mean radius=Q3(13.5–15.9) & mean texture=Q2(16.2–19.3),11,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,1.0,fisher_exact
mean radius=Q1(6.98–11.6) & mean texture=Q2(16.2–19.3),9,f1,1.0,0.9720670391061452,0.027932960893854775,False,True,,skipped_low_n
mean radius=Q1(6.98–11.6) & mean texture=Q3(19.3–22.4),5,f1,1.0,0.9720670391061452,0.027932960893854775,False,True,,skipped_low_n
mean radius=Q1(6.98–11.6) & mean texture=Q1(10.4–16.2),14,f1,1.0,0.9720670391061452,0.027932960893854775,False,False,1.0,fisher_exact
mean radius=Q1(6.98–11.6) & mean texture=Q4(22.4–31.1),8,f1,1.0,0.9720670391061452,0.027932960893854775,False,True,,skipped_low_n
mean radius=Q2(11.6–13.5),36,f1,0.9855072463768116,0.9720670391061452,0.013440207270666416,False,False,0.9954915539847928,proportion_z
mean texture=Q1(10.4–16.2),36,f1,0.9841269841269841,0.9720670391061452,0.012059945020838847,False,False,0.9954915539847928,proportion_z
mean texture=Q4(22.4–31.1),36,f1,0.9655172413793104,0.9720670391061452,-0.006549797726834838,False,False,0.9954915539847928,proportion_z
