mean texture=Q3(19.3–22.4) | p_value=0.038032
mean radius=Q3(13.5–15.9) | p_value=0.001933
mean texture=Q2(16.2–19.3) | p_value=0.309108
mean radius=Q1(6.98–11.6) | p_value=0.309108
mean radius=Q2(11.6–13.5) & mean texture=Q2(16.2–19.3) | p_value=1.000000
mean radius=Q2(11.6–13.5) & mean texture=Q1(10.4–16.2) | p_value=1.000000
mean radius=Q3(13.5–15.9) & mean texture=Q2(16.2–19.3) | p_value=1.000000
mean radius=Q1(6.98–11.6) & mean texture=Q1(10.4–16.2) | p_value=1.000000
mean radius=Q2(11.6–13.5) | p_value=0.995492
mean texture=Q1(10.4–16.2) | p_value=0.995492
mean texture=Q4(22.4–31.1) | p_value=0.995492
