segment,n,metric,metric_value,overall_metric,gap,is_significant,low_n,p_value,test_used
age_group=Middle & bmi_group=High,3,mae,20.12759531076453,46.13885766697452,-26.011262356209993,False,True,,skipped_low_n
age_group=Old & bmi_group=Low,8,mae,31.452632103539692,46.13885766697452,-14.686225563434832,False,True,,skipped_low_n
age_group=Young & bmi_group=Low,17,mae,33.914187700573585,46.13885766697452,-12.224669966400938,False,False,0.056,bootstrap_ci
age_group=Old & bmi_group=High,13,mae,56.84922584785017,46.13885766697452,10.710368180875648,False,True,,skipped_low_n
age_group=Young & bmi_group=Med,11,mae,55.06157884485912,46.13885766697452,8.922721177884597,False,True,,skipped_low_n
age_group=Middle & bmi_group=Med,5,mae,53.94649280019394,46.13885766697452,7.807635133219414,False,True,,skipped_low_n
bmi_group=Low,38,mae,38.54287147204596,46.13885766697452,-7.595986194928564,False,False,0.086,bootstrap_ci
age_group=Young & bmi_group=High,12,mae,53.563370369710356,46.13885766697452,7.424512702735832,False,True,,skipped_low_n
bmi_group=Med,23,mae,52.15417608835287,46.13885766697452,6.015318421378346,False,False,0.33,bootstrap_ci
bmi_group=High,28,mae,51.50654165681679,46.13885766697452,5.36768398984227,False,False,0.372,bootstrap_ci
age_group=Middle & bmi_group=Low,13,mae,48.958989861513686,46.13885766697452,2.8201321945391626,False,True,,skipped_low_n
age_group=Old,28,mae,46.957043271002355,46.13885766697452,0.8181856040278319,False,False,0.854,bootstrap_ci
age_group=Young,40,mae,45.62447506599314,46.13885766697452,-0.514382600981385,False,False,0.874,bootstrap_ci
age_group=Old & bmi_group=Med,7,mae,46.30517410538516,46.13885766697452,0.16631643841063948,False,True,,skipped_low_n
age_group=Middle,21,mae,46.02771991109244,46.13885766697452,-0.11113775588208341,False,False,0.974,bootstrap_ci
